Index,Height(cm),Weight(kg),BMI
1,176.58,46.9,15.04
2,172.92,46.07,15.41
3,170.74,47.0,16.12
4,166.65,44.78,16.13
5,172.57,48.51,16.29
6,175.77,50.91,16.48
7,169.7,47.59,16.53
8,173.28,49.76,16.57
9,177.09,52.49,16.74
10,171.45,49.39,16.8
11,170.71,49.49,16.98
12,175.51,52.46,17.03
13,175.51,52.53,17.05
14,164.77,46.35,17.07
15,161.24,44.45,17.1
16,174.98,52.43,17.12
17,172.47,51.02,17.15
18,167.59,48.33,17.21
19,168.99,49.18,17.22
20,169.62,49.56,17.23
21,178.26,54.99,17.31
22,173.71,52.31,17.34
23,168.91,49.72,17.43
24,163.3,46.69,17.51
25,173.43,52.7,17.52
26,177.83,55.41,17.52
27,172.11,52.01,17.56
28,171.75,51.82,17.57
29,173.38,52.87,17.59
30,181.33,58.06,17.66
31,165.56,48.65,17.75
32,180.59,58.18,17.84
33,178.49,56.97,17.88
34,176.35,55.66,17.9
35,171.96,53.04,17.94
36,187.53,63.24,17.98
37,167.61,50.52,17.98
38,173.69,54.43,18.04
39,167.51,50.8,18.1
40,180.92,59.34,18.13
41,162.89,48.17,18.16
42,172.54,54.17,18.19
43,166.42,50.37,18.19
44,176.63,56.93,18.25
45,162.69,48.45,18.3
46,177.93,57.93,18.3
47,184.0,62.08,18.34
48,167.08,51.3,18.38
49,174.5,55.98,18.38
50,174.6,56.4,18.5
51,174.17,56.46,18.61
52,179.22,59.84,18.63
53,171.86,55.04,18.64
54,167.92,52.56,18.64
55,163.55,49.89,18.65
56,166.22,51.71,18.71
57,172.01,55.42,18.73
58,176.33,58.23,18.73
59,176.38,58.3,18.74
60,177.75,59.2,18.74
61,165.56,51.48,18.78
62,181.66,61.97,18.78
63,172.77,56.06,18.78
64,172.03,55.62,18.79
65,179.93,60.85,18.79
66,178.28,59.76,18.8
67,182.93,63.01,18.83
68,178.03,59.74,18.85
69,167.31,52.77,18.85
70,167.44,52.95,18.89
71,171.86,55.86,18.91
72,175.79,58.45,18.91
73,172.64,56.39,18.92
74,169.11,54.14,18.93
75,173.48,57.03,18.95
76,175.77,58.61,18.97
77,179.86,61.44,18.99
78,166.27,52.64,19.04
79,169.62,54.78,19.04
80,172.75,56.9,19.07
81,168.55,54.19,19.08
82,163.83,51.25,19.1
83,172.11,56.59,19.1
84,178.41,60.83,19.11
85,165.89,52.62,19.12
86,182.37,63.61,19.12
87,170.48,55.6,19.13
88,177.95,60.59,19.13
89,180.92,62.61,19.13
90,174.19,58.05,19.13
91,169.14,54.9,19.19
92,174.42,58.46,19.21
93,168.55,54.62,19.22
94,168.38,54.49,19.22
95,174.27,58.36,19.22
96,173.58,57.92,19.22
97,179.32,61.84,19.23
98,169.62,55.34,19.24
99,168.86,54.85,19.24
100,172.26,57.11,19.25
101,171.12,56.63,19.34
102,169.9,55.86,19.35
103,166.98,53.98,19.36
104,181.58,63.84,19.36
105,170.51,56.31,19.37
106,173.33,58.25,19.39
107,172.77,57.87,19.39
108,173.36,58.35,19.42
109,173.79,58.79,19.47
110,167.13,54.43,19.48
111,180.57,63.56,19.49
112,174.52,59.37,19.49
113,187.71,68.73,19.51
114,173.48,58.91,19.57
115,177.83,61.95,19.59
116,171.02,57.35,19.61
117,167.16,54.82,19.62
118,171.3,57.58,19.62
119,167.59,55.16,19.64
120,167.13,54.86,19.64
121,177.19,61.77,19.67
122,174.78,60.24,19.72
123,165.81,54.26,19.74
124,170.66,57.64,19.79
125,176.58,61.84,19.83
126,170.54,57.77,19.86
127,173.3,59.71,19.88
128,175.49,61.26,19.89
129,179.93,64.66,19.97
130,168.38,56.66,19.99
131,173.41,60.19,20.02
132,175.11,61.42,20.03
133,174.17,60.76,20.03
134,170.1,57.95,20.03
135,172.24,59.63,20.1
136,174.35,61.12,20.11
137,166.7,55.97,20.14
138,178.41,64.24,20.18
139,170.21,58.48,20.19
140,177.6,63.74,20.21
141,170.71,58.89,20.21
142,173.61,60.92,20.21
143,169.6,58.18,20.23
144,168.43,57.42,20.24
145,176.94,63.41,20.25
146,168.88,57.86,20.29
147,171.42,59.72,20.32
148,166.07,56.06,20.33
149,175.26,62.45,20.33
150,174.83,62.15,20.33
151,176.2,63.13,20.33
152,169.01,58.14,20.35
153,172.03,60.27,20.36
154,170.41,59.18,20.38
155,174.98,62.54,20.43
156,177.29,64.24,20.44
157,168.91,58.44,20.48
158,171.35,60.32,20.54
159,175.59,63.32,20.54
160,173.28,61.73,20.56
161,168.81,58.79,20.63
162,171.55,60.75,20.64
163,168.35,58.54,20.65
164,165.56,56.69,20.68
165,173.05,61.99,20.7
166,178.28,65.83,20.71
167,177.34,65.2,20.73
168,174.98,63.67,20.79
169,173.63,62.92,20.87
170,167.54,58.63,20.89
171,172.64,62.37,20.92
172,163.58,56.2,21.0
173,175.41,64.68,21.02
174,170.46,61.3,21.1
175,176.94,66.1,21.11
176,178.26,67.14,21.13
177,177.57,66.75,21.17
178,165.89,58.25,21.17
179,174.96,65.17,21.29
180,174.37,64.91,21.35
181,165.79,58.71,21.36
182,171.2,62.87,21.45
183,173.28,64.62,21.52
184,161.11,55.89,21.53
185,172.29,64.14,21.61
186,166.32,60.36,21.82
187,171.78,64.4,21.82
188,171.09,63.96,21.85
189,162.15,57.74,21.96
190,172.19,65.51,22.1
191,178.84,70.78,22.13
192,180.29,72.17,22.2
193,177.93,70.54,22.28
194,176.28,69.48,22.36
195,169.67,64.38,22.36
196,167.67,63.63,22.63
197,168.22,64.09,22.65
198,171.22,66.44,22.66
199,170.38,66.42,22.88
200,169.88,66.14,22.92
